"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"634","Wei-Yin Chen",575929,"SL|CH","In play, no out","78.6","6.26"
"635","Wei-Yin Chen",575929,"CH|CH","Called Strike","null","null"
"636","Wei-Yin Chen",575929,"CH|FF","Foul","null","null"
"638","Wei-Yin Chen",518792,"SL|FT","Called Strike","null","null"
"641","Wei-Yin Chen",595879,"FF|FF","Foul","null","null"
"642","Wei-Yin Chen",595879,"FF|FF","Foul","null","null"
"643","Wei-Yin Chen",595879,"FF|FF","Called Strike","null","null"
"644","Wei-Yin Chen",595879,"FF|CH","Swinging Strike","null","null"
"645","Wei-Yin Chen",595879,"CH|FF","In play, out(s)","null","null"
"650","Wei-Yin Chen",518792,"FT|FF","Called Strike","null","null"
"653","Wei-Yin Chen",424325,"FF|FF","Foul","null","null"
"654","Wei-Yin Chen",424325,"FF|CH","Called Strike","null","null"
"656","Wei-Yin Chen",424325,"FF|FF","In play, run(s)","100.1","30.77"
"659","Wei-Yin Chen",518792,"SL|FF","In play, no out","84.2","17.63"
"662","Wei-Yin Chen",575929,"FF|FF","Swinging Strike","null","null"
"664","Wei-Yin Chen",453568,"FF|FF","Foul","null","null"
"665","Wei-Yin Chen",453568,"FF|FF","Foul","null","null"
"666","Wei-Yin Chen",453568,"FF|SL","Foul","null","null"
"668","Wei-Yin Chen",453568,"FF|FF","Foul","null","null"
"669","Wei-Yin Chen",453568,"FF|FF","In play, out(s)","97.4","34.04"
"673","Wei-Yin Chen",518934,"CU|SL","In play, out(s)","103.2","14.87"
"674","Wei-Yin Chen",518934,"SL|FF","Called Strike","null","null"
"675","Wei-Yin Chen",518934,"FF|FF","Foul","null","null"
"678","Wei-Yin Chen",571448,"CH|FF","Foul","null","null"
"679","Wei-Yin Chen",571448,"FF|SL","Swinging Strike","null","null"
"681","Wei-Yin Chen",571448,"FF|FF","Foul","null","null"
"684","Wei-Yin Chen",596115,"SL|FT","Called Strike","null","null"
"686","Wei-Yin Chen",596115,"FF|CU","In play, no out","99.1","12.18"
"688","Wei-Yin Chen",430605,"FT|FT","Foul","null","null"
"690","Wei-Yin Chen",430605,"SL|FF","Foul","null","null"
"695","Wei-Yin Chen",448602,"FF|CU","Foul","null","null"
"697","Wei-Yin Chen",448602,"SL|CH","In play, out(s)","75.1","35.1"
"699","Wei-Yin Chen",460026,"SL|FT","Called Strike","null","null"
"700","Wei-Yin Chen",460026,"FT|FT","In play, out(s)","81.2","32.25"
"702","Wei-Yin Chen",543022,"CU|FF","Foul","null","null"
"703","Wei-Yin Chen",543022,"FF|FF","Foul","null","null"
"704","Wei-Yin Chen",543022,"FF|CH","In play, out(s)","75.4","56.69"
"706","Wei-Yin Chen",453568,"SL|FF","Foul","null","null"
"708","Wei-Yin Chen",453568,"FF|SL","Foul","null","null"
"710","Wei-Yin Chen",453568,"SL|FF","Foul","null","null"
"711","Wei-Yin Chen",453568,"FF|CH","In play, out(s)","null","null"
"714","Wei-Yin Chen",518934,"FF|SL","In play, no out","97.3","-2.76"
"715","Wei-Yin Chen",518934,"SL|SL","Called Strike","null","null"
"718","Wei-Yin Chen",596115,"FF|FF","Hit By Pitch","null","null"
"721","Wei-Yin Chen",596115,"CH|SL","Called Strike","null","null"
"725","Wei-Yin Chen",430605,"FT|FT","In play, run(s)","84.3","8.87"
"729","Wei-Yin Chen",448602,"FF|CH","Called Strike","null","null"
"730","Wei-Yin Chen",448602,"CH|FF","Foul","null","null"
"734","Wei-Yin Chen",460026,"FF|FF","Called Strike","null","null"
"735","Wei-Yin Chen",460026,"FF|FF","Foul","null","null"
"736","Wei-Yin Chen",460026,"FF|CU","Foul","null","null"
"738","Wei-Yin Chen",460026,"SL|FT","In play, run(s)","101.4","22.46"
"741","Wei-Yin Chen",519083,"FF|FT","In play, out(s)","101.7","17.87"
"742","Wei-Yin Chen",519083,"FT|FT","Foul","null","null"
"748","Wei-Yin Chen",425834,"FT|FT","Swinging Strike","null","null"
"749","Wei-Yin Chen",425834,"FT|FF","In play, run(s)","103.8","32.2"
"751","Wei-Yin Chen",489267,"CU|FT","In play, out(s)","83.8","32.36"
"752","Wei-Yin Chen",489267,"FT|FT","Swinging Strike","null","null"
"756","Wei-Yin Chen",493351,"FT|CU","Foul","null","null"
"757","Wei-Yin Chen",493351,"CU|FF","Called Strike","null","null"
"758","Wei-Yin Chen",493351,"FF|FT","In play, out(s)","55.6","-40.78"
"760","Wei-Yin Chen",445055,"FF|SL","Foul","null","null"
"761","Wei-Yin Chen",445055,"SL|FT","In play, out(s)","85.4","-9.26"
"763","Wei-Yin Chen",445055,"FT|FT","Foul","null","null"
"766","Wei-Yin Chen",571976,"FT|FT","Called Strike","null","null"
"767","Wei-Yin Chen",571976,"FT|FF","Swinging Strike","null","null"
"768","Wei-Yin Chen",571976,"FF|FT","In play, run(s)","102.9","28.21"
"770","Wei-Yin Chen",500208,"FT|FF","Swinging Strike","null","null"
"771","Wei-Yin Chen",500208,"FF|FT","Called Strike","null","null"
"774","Wei-Yin Chen",519083,"FF|FT","Called Strike","null","null"
"775","Wei-Yin Chen",519083,"FT|CU","Foul","null","null"
"776","Wei-Yin Chen",519083,"CU|FF","Called Strike","null","null"
"781","Wei-Yin Chen",489267,"CU|FF","Swinging Strike","null","null"
"782","Wei-Yin Chen",489267,"FF|FT","Swinging Strike","null","null"
"783","Wei-Yin Chen",489267,"FT|FT","Called Strike","null","null"
"786","Wei-Yin Chen",607067,"FF|FT","Called Strike","null","null"
"787","Wei-Yin Chen",607067,"FT|FF","Swinging Strike","null","null"
"788","Wei-Yin Chen",607067,"FF|CU","Foul","null","null"
"791","Wei-Yin Chen",445055,"FT|FT","Swinging Strike","null","null"
"794","Wei-Yin Chen",445055,"SL|FF","Foul","null","null"
"796","Wei-Yin Chen",461314,"FT|SL","In play, run(s)","103.6","23.86"
"797","Wei-Yin Chen",461314,"SL|FT","Foul","null","null"
"799","Wei-Yin Chen",500208,"CU|FF","Called Strike","null","null"
"800","Wei-Yin Chen",500208,"FF|FT","Called Strike","null","null"
"801","Wei-Yin Chen",500208,"FT|FT","Called Strike","null","null"
"803","Wei-Yin Chen",519083,"CH|CU","Foul","null","null"
"806","Wei-Yin Chen",493351,"CH|FT","In play, out(s)","null","null"
"807","Wei-Yin Chen",493351,"FT|FT","Called Strike","null","null"
"812","Wei-Yin Chen",489267,"FT|CH","In play, run(s)","102.8","29.14"
"814","Wei-Yin Chen",608671,"FF|SL","In play, no out","95.2","-41.41"
"821","Wei-Yin Chen",571976,"FF|FT","Called Strike","null","null"
"823","Wei-Yin Chen",461314,"FT|FT","Foul","null","null"
"826","Wei-Yin Chen",461314,"FT|FT","In play, out(s)","94.6","24.99"
"828","Wei-Yin Chen",500208,"FF|FF","Foul","null","null"
"829","Wei-Yin Chen",500208,"FF|FF","Foul","null","null"
"830","Wei-Yin Chen",500208,"FF|SL","Swinging Strike","null","null"
"831","Wei-Yin Chen",500208,"SL|CU","Called Strike","null","null"
"835","Wei-Yin Chen",571976,"CU|CH","Foul","null","null"
"836","Wei-Yin Chen",571976,"CH|FT","In play, out(s)","57.4","19.47"
"837","Wei-Yin Chen",571976,"FT|FT","Foul","null","null"
"840","Wei-Yin Chen",425834,"FT|SL","In play, no out","94.2","15.59"
"841","Wei-Yin Chen",425834,"SL|FF","Called Strike","null","null"
"845","Wei-Yin Chen",572821,"CH|CH","In play, out(s)","72.8","-8.24"
"847","Wei-Yin Chen",572821,"SL|SL","Foul","null","null"
"849","Wei-Yin Chen",666560,"FT|SL","In play, run(s)","109.1","36.44"
"851","Wei-Yin Chen",542455,"SL|CU","Swinging Strike","null","null"
"852","Wei-Yin Chen",542455,"CU|FT","Foul","null","null"
"854","Wei-Yin Chen",542455,"SL|FT","In play, no out","106.7","46.43"
"856","Wei-Yin Chen",666560,"FF|CH","In play, out(s)","null","null"
"859","Wei-Yin Chen",456488,"FF|CU","Swinging Strike","null","null"
"860","Wei-Yin Chen",456488,"CU|FT","Foul","null","null"
"861","Wei-Yin Chen",456488,"FT|SL","Called Strike","null","null"
"864","Wei-Yin Chen",456488,"CU|SL","In play, out(s)","62.9","-51.4"
"867","Wei-Yin Chen",543257,"SL|FF","Foul","null","null"
"868","Wei-Yin Chen",543257,"FF|SL","In play, out(s)","97.9","23.25"
"870","Wei-Yin Chen",543257,"FF|FF","Foul","null","null"
"872","Wei-Yin Chen",543257,"FT|FF","Foul","null","null"
"878","Wei-Yin Chen",461858,"FT|FF","In play, out(s)","92.2","35.39"
"880","Wei-Yin Chen",572821,"CU|FF","Foul","null","null"
"881","Wei-Yin Chen",572821,"FF|CU","Called Strike","null","null"
"886","Wei-Yin Chen",621439,"FF|CH","Swinging Strike","null","null"
"887","Wei-Yin Chen",621439,"CH|CU","Missed Bunt","null","null"
"888","Wei-Yin Chen",621439,"CU|FT","Foul","null","null"
"889","Wei-Yin Chen",621439,"FT|FF","Foul","null","null"
"893","Wei-Yin Chen",543257,"SL|FF","Foul","null","null"
"894","Wei-Yin Chen",543257,"FF|SL","In play, no out","102.6","-2.43"
"896","Wei-Yin Chen",408045,"FF|FF","In play, out(s)","89.4","-17.98"
"897","Wei-Yin Chen",408045,"FF|FT","Called Strike","null","null"
"900","Wei-Yin Chen",461858,"CH|FT","In play, run(s)","105.8","32.18"
"903","Wei-Yin Chen",572821,"FF|FT","In play, no out","102.3","23"
"907","Wei-Yin Chen",542455,"CU|CU","Swinging Strike","null","null"
"908","Wei-Yin Chen",542455,"CU|CH","Foul","null","null"
"909","Wei-Yin Chen",542455,"CH|FF","Foul","null","null"
"913","Wei-Yin Chen",621439,"CU|FF","In play, out(s)","97.7","-17.99"
"914","Wei-Yin Chen",621439,"FF|FT","Called Strike","null","null"
"918","Wei-Yin Chen",408045,"FT|FT","Called Strike","null","null"
"919","Wei-Yin Chen",408045,"FT|FT","Foul","null","null"
"921","Wei-Yin Chen",461858,"FT|CH","Called Strike","null","null"
"922","Wei-Yin Chen",461858,"CH|CH","In play, out(s)","94","-5.37"
"925","Wei-Yin Chen",456488,"FT|SL","In play, out(s)","83.3","-20.36"
"926","Wei-Yin Chen",456488,"SL|FF","Called Strike","null","null"
"930","Wei-Yin Chen",543281,"FF|SL","Foul","null","null"
"932","Wei-Yin Chen",543281,"SL|FF","In play, out(s)","86","36.39"
"933","Wei-Yin Chen",543281,"FF|FF","Called Strike","null","null"
"934","Wei-Yin Chen",543281,"FF|FT","Foul","null","null"
"935","Wei-Yin Chen",543281,"FT|FF","Foul","null","null"
"937","Wei-Yin Chen",457705,"FF|FT","Foul","null","null"
"939","Wei-Yin Chen",501896,"CU|FF","Foul","null","null"
"940","Wei-Yin Chen",501896,"FF|FF","Swinging Strike","null","null"
"941","Wei-Yin Chen",501896,"FF|FT","Foul","null","null"
"942","Wei-Yin Chen",501896,"FT|SL","Swinging Strike","null","null"
"945","Wei-Yin Chen",628356,"FT|CU","In play, out(s)","90.8","23.75"
"947","Wei-Yin Chen",465041,"FF|SL","Hit By Pitch","null","null"
"948","Wei-Yin Chen",465041,"SL|FT","Called Strike","null","null"
"950","Wei-Yin Chen",516782,"FF|FF","Foul","null","null"
"951","Wei-Yin Chen",516782,"FF|SL","In play, out(s)","null","null"
"955","Wei-Yin Chen",474568,"FF|SL","Foul","null","null"
"958","Wei-Yin Chen",474568,"CU|FF","Called Strike","null","null"
"961","Wei-Yin Chen",459964,"SL|FT","Called Strike","null","null"
"966","Wei-Yin Chen",504379,"SL|FF","Swinging Strike","null","null"
"968","Wei-Yin Chen",543281,"CH|SL","Swinging Strike","null","null"
"970","Wei-Yin Chen",543281,"FF|SL","In play, out(s)","94.6","36.01"
"972","Wei-Yin Chen",543281,"FT|FF","Foul","null","null"
"976","Wei-Yin Chen",501896,"CU|CU","In play, out(s)","91.5","0.73"
"977","Wei-Yin Chen",501896,"CU|FF","Foul","null","null"
"978","Wei-Yin Chen",501896,"FF|FF","Foul","null","null"
"979","Wei-Yin Chen",501896,"FF|CU","Foul","null","null"
"982","Wei-Yin Chen",628356,"FF|FF","In play, out(s)","103.2","32.3"
"983","Wei-Yin Chen",628356,"FF|FF","Called Strike","null","null"
"986","Wei-Yin Chen",628356,"SL|FF","Foul","null","null"
"988","Wei-Yin Chen",455755,"FF|SL","Called Strike","null","null"
"989","Wei-Yin Chen",455755,"SL|FF","Foul","null","null"
"991","Wei-Yin Chen",516782,"SL|SL","Called Strike","null","null"
"992","Wei-Yin Chen",516782,"SL|CH","Swinging Strike","null","null"
"993","Wei-Yin Chen",516782,"CH|FF","Swinging Strike","null","null"
"996","Wei-Yin Chen",459964,"SL|CU","In play, out(s)","90.6","40.61"
"997","Wei-Yin Chen",459964,"CU|FF","Foul","null","null"
"998","Wei-Yin Chen",459964,"FF|FT","Foul","null","null"
"1000","Wei-Yin Chen",504379,"FT|FF","Swinging Strike","null","null"
"1001","Wei-Yin Chen",504379,"FF|CU","Swinging Strike (Blocked)","null","null"
"1004","Wei-Yin Chen",543281,"FF|FF","In play, out(s)","99.5","16.25"
"1006","Wei-Yin Chen",457705,"FF|CH","Foul","null","null"
"1007","Wei-Yin Chen",457705,"CH|SL","Foul","null","null"
"1008","Wei-Yin Chen",457705,"SL|FF","Foul","null","null"
"1011","Wei-Yin Chen",457705,"SL|SL","In play, out(s)","99.8","7.17"
"1013","Wei-Yin Chen",501896,"FF|FF","Called Strike","null","null"
"1015","Wei-Yin Chen",501896,"CU|SL","Swinging Strike","null","null"
"1018","Wei-Yin Chen",628356,"FT|FF","Called Strike","null","null"
"1020","Wei-Yin Chen",628356,"SL|SL","In play, no out","108.7","12.13"
"1024","Wei-Yin Chen",455755,"FT|FT","Called Strike","null","null"
"1027","Wei-Yin Chen",474568,"FF|FF","Called Strike","null","null"
"1030","Wei-Yin Chen",605480,"FF|FF","Called Strike","null","null"
"1031","Wei-Yin Chen",605480,"FF|FT","In play, out(s)","null","null"
"1034","Wei-Yin Chen",493596,"FF|FT","In play, out(s)","103","-4.87"
"1036","Wei-Yin Chen",518692,"FF|SL","Foul","null","null"
"1037","Wei-Yin Chen",518692,"SL|FT","Foul","null","null"
"1038","Wei-Yin Chen",518692,"FT|FT","Foul","null","null"
"1039","Wei-Yin Chen",518692,"FT|SL","Foul","null","null"
"1040","Wei-Yin Chen",518692,"SL|CU","Foul","null","null"
"1041","Wei-Yin Chen",518692,"CU|FF","Swinging Strike","null","null"
"1043","Wei-Yin Chen",452095,"FT|FT","Foul","null","null"
"1044","Wei-Yin Chen",452095,"FT|CU","Swinging Strike","null","null"
"1047","Wei-Yin Chen",452095,"CU|FF","Foul","null","null"
"1051","Wei-Yin Chen",425796,"CU|FT","Foul","null","null"
"1052","Wei-Yin Chen",425796,"FT|FF","Foul","null","null"
"1053","Wei-Yin Chen",425796,"FF|FT","In play, no out","72.1","-4.85"
"1055","Wei-Yin Chen",611177,"FT|SL","Foul","null","null"
"1056","Wei-Yin Chen",611177,"SL|CU","Foul","null","null"
"1057","Wei-Yin Chen",611177,"CU|FT","Foul","null","null"
"1060","Wei-Yin Chen",611177,"SL|CH","Foul","null","null"
"1063","Wei-Yin Chen",593495,"CU|CH","In play, out(s)","84","21.52"
"1065","Wei-Yin Chen",594760,"FF|FF","Called Strike","null","null"
"1067","Wei-Yin Chen",594760,"FF|FT","In play, out(s)","107.2","-10.77"
"1069","Wei-Yin Chen",605480,"FT|FT","In play, out(s)","81.8","-7.8"
"1072","Wei-Yin Chen",493596,"CH|FF","In play, no out","104.1","10.03"
"1075","Wei-Yin Chen",518692,"FF|SL","Called Strike","null","null"
"1076","Wei-Yin Chen",518692,"SL|FF","Swinging Strike","null","null"
"1077","Wei-Yin Chen",518692,"FF|SL","Foul","null","null"
"1078","Wei-Yin Chen",518692,"SL|FF","Foul","null","null"
"1079","Wei-Yin Chen",518692,"FF|FF","Foul","null","null"
"1080","Wei-Yin Chen",518692,"FF|CU","Foul","null","null"
"1081","Wei-Yin Chen",518692,"CU|FT","Foul","null","null"
"1082","Wei-Yin Chen",518692,"FT|SL","Swinging Strike","null","null"
"1084","Wei-Yin Chen",452095,"CU|FF","Called Strike","null","null"
"1085","Wei-Yin Chen",452095,"FF|FT","Foul","null","null"
"1087","Wei-Yin Chen",452095,"CU|SL","Foul","null","null"
"1092","Wei-Yin Chen",455976,"SL|SL","Called Strike","null","null"
"1093","Wei-Yin Chen",455976,"SL|FT","Foul","null","null"
"1094","Wei-Yin Chen",455976,"FT|FF","Foul","null","null"
"1096","Wei-Yin Chen",455976,"FF|SL","In play, run(s)","99.2","29.15"
"1098","Wei-Yin Chen",425796,"SL|FF","Foul","null","null"
"1099","Wei-Yin Chen",425796,"FF|FF","Foul","null","null"
"1100","Wei-Yin Chen",425796,"FF|SL","Foul","null","null"
"1101","Wei-Yin Chen",425796,"SL|FF","Foul","null","null"
"1102","Wei-Yin Chen",425796,"FF|FF","Foul","null","null"
"1103","Wei-Yin Chen",425796,"FF|CH","Foul","null","null"
"1104","Wei-Yin Chen",425796,"CH|CH","In play, no out","85.9","-25.71"
"1106","Wei-Yin Chen",611177,"SL|FF","Called Strike","null","null"
"1108","Wei-Yin Chen",611177,"SL|SL","In play, out(s)","null","null"
"1110","Wei-Yin Chen",593495,"CU|FF","Foul","null","null"
"1111","Wei-Yin Chen",593495,"FF|SL","Swinging Strike","null","null"
"1114","Wei-Yin Chen",594760,"CU|FT","In play, out(s)","103.6","-18.8"
"1117","Wei-Yin Chen",605480,"FF|FF","Swinging Strike","null","null"
"1118","Wei-Yin Chen",605480,"FF|SL","In play, out(s)","null","null"
"1120","Wei-Yin Chen",446334,"SL|CH","Called Strike","null","null"
"1121","Wei-Yin Chen",446334,"CH|SL","Swinging Strike","null","null"
"1122","Wei-Yin Chen",446334,"SL|FF","Called Strike","null","null"
"1128","Wei-Yin Chen",456665,"CH|FF","Foul","null","null"
"1130","Wei-Yin Chen",542921,"FF|FF","Swinging Strike","null","null"
"1131","Wei-Yin Chen",542921,"FF|FT","Foul","null","null"
"1134","Wei-Yin Chen",600301,"CH|CH","Swinging Strike","null","null"
"1138","Wei-Yin Chen",600301,"CU|FF","Foul","null","null"
"1140","Wei-Yin Chen",592200,"FF|SL","Swinging Strike","null","null"
"1141","Wei-Yin Chen",592200,"SL|FF","Foul","null","null"
"1148","Wei-Yin Chen",446386,"CU|CH","In play, run(s)","102.7","23.58"
"1150","Wei-Yin Chen",519306,"SL|FT","Called Strike","null","null"
"1152","Wei-Yin Chen",457775,"SL|SL","Foul","null","null"
"1153","Wei-Yin Chen",457775,"SL|FF","In play, out(s)","null","null"
"1154","Wei-Yin Chen",457775,"FF|SL","Called Strike","null","null"
"1160","Wei-Yin Chen",592200,"FF|FF","In play, out(s)","null","null"
"1162","Wei-Yin Chen",446386,"FF|CU","Called Strike","null","null"
"1164","Wei-Yin Chen",519043,"FF|CH","Called Strike","null","null"
"1168","Wei-Yin Chen",519306,"FF|FF","In play, no out","98.2","8.71"
"1171","Wei-Yin Chen",600301,"FF|SL","In play, out(s)","70","29.49"
"1172","Wei-Yin Chen",600301,"SL|FF","Called Strike","null","null"
"1176","Wei-Yin Chen",600301,"SL|FT","In play, run(s)","99.6","27.4"
"1177","Wei-Yin Chen",600301,"FT|FF","Called Strike","null","null"
"1181","Wei-Yin Chen",519043,"FF|FF","In play, no out","82.1","9.16"
"1183","Wei-Yin Chen",446386,"FT|FF","Called Strike","null","null"
"1185","Wei-Yin Chen",446334,"FF|FF","In play, out(s)","102.4","33.61"
"1188","Wei-Yin Chen",592200,"FF|SL","Swinging Strike","null","null"
"1189","Wei-Yin Chen",592200,"SL|SL","Foul","null","null"
"1191","Wei-Yin Chen",592200,"CU|FF","Called Strike","null","null"
"1192","Wei-Yin Chen",592200,"FF|FF","In play, out(s)","83.3","43.2"
"1194","Wei-Yin Chen",543484,"CU|FF","In play, out(s)","null","null"
"1195","Wei-Yin Chen",543484,"FF|SL","Foul","null","null"
"1197","Wei-Yin Chen",543484,"FF|FF","In play, out(s)","82.7","38.38"
"1199","Wei-Yin Chen",543484,"FF|FF","Called Strike","null","null"
"1201","Wei-Yin Chen",446386,"FF|SL","In play, no out","67.8","42.79"
"1203","Wei-Yin Chen",446334,"FF|SL","In play, out(s)","90.2","24.38"
"1205","Wei-Yin Chen",446334,"FF|CU","Swinging Strike","null","null"
"1207","Wei-Yin Chen",546318,"FF|FF","Called Strike","null","null"
"1208","Wei-Yin Chen",546318,"FF|SL","Swinging Strike (Blocked)","null","null"
"1211","Wei-Yin Chen",596748,"SL|CU","Called Strike","null","null"
"1212","Wei-Yin Chen",596748,"CU|SL","In play, out(s)","88.7","19.4"
"1214","Wei-Yin Chen",571830,"FF|FF","In play, run(s)","108.1","19.22"
